QS201EW - Ethnic group,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source,"ONS Crown Copyright Reserved [from Nomis on 2 January 2021]
",,,,,,,,
Population,All usual residents,,,,,,,,
Units,Persons,,,,,,,,
,,,,,,,,,
date,2011,,,,,,,,
geography,Birmingham,,,,,,,,
measures,value,,,,,,,,
Ethnic Group,,,,,,,,,
All categories: Ethnic group,"1,073,045",,,,,,,,
White,"621,636",,,,,,,,
English/Welsh/Scottish/Northern Irish/British,"570,217",,,,,,,,
Irish,"22,021",,,,,,,,
Gypsy or Irish Traveller,408,,,,,,,,
Other White,"28,990",,,,,,,,
Mixed/multiple ethnic group,"47,605",,,,,,,,
White and Black Caribbean,"24,720",,,,,,,,
White and Black African,"3,223",,,,,,,,
White and Asian,"11,186",,,,,,,,
Other Mixed,"8,476",,,,,,,,
Asian/Asian British,"285,640",,,,,,,,
Indian,"64,621",,,,,,,,
Pakistani,"144,627",,,,,,,,
Bangladeshi,"32,532",,,,,,,,
Chinese,"12,712",,,,,,,,
Other Asian,"31,148",,,,,,,,
Black/African/Caribbean/Black British,"96,360",,,,,,,,
African,"29,991",,,,,,,,
Caribbean,"47,641",,,,,,,,
Other Black,"18,728",,,,,,,,
Other ethnic group,"21,804",,,,,,,,
Arab,"10,910",,,,,,,,
Any other ethnic group,"10,894",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"In order to protect against disclosure of personal information, records have been swapped between different geographic areas. Some counts will be affected, particularly small counts at the lowest geographies",,,,,,,,,
