Address,Latitude,Longitude,Easting,Northing
EC1A,51.5203,-0.104446,531612,181856
EC1M,51.5214,-0.103593,531668,181980
EC1N,51.52,-0.109137,531288,181815
EC1P,51.5246,-0.112047,531073,182321
EC1R,51.5245,-0.108978,531286,182315
EC1V,51.5265,-0.099303,531951,182555
EC1Y,51.5231,-0.093406,532370,182188
EC2A,51.5231,-0.087987,532746,182197
EC2M,51.5184,-0.086812,532841,181677
EC2N,51.516,-0.087462,532803,181409
EC2P,51.5241,-0.11052,531180,182268
EC2R,51.5163,-0.091869,532496,181434
EC2V,51.5158,-0.094926,532286,181373
EC2Y,51.52,-0.096344,532175,181838
EC3A,51.515,-0.082008,533184,181308
EC3M,51.5122,-0.083735,533073,180993
EC3N,51.5127,-0.079821,533343,181056
EC3P,51.5224,-0.106765,531445,182086
EC3R,51.5112,-0.084652,533012,180880
EC3V,51.5133,-0.08691,532849,181110
EC4A,51.5159,-0.108661,531332,181359
EC4M,51.5149,-0.100598,531895,181263
EC4N,51.5134,-0.093103,532419,181109
EC4P,51.5231,-0.110577,531179,182157
EC4R,51.5114,-0.091741,532519,180890
EC4V,51.5126,-0.100248,531926,181008
EC4Y,51.5137,-0.108858,531325,181114
EC50,51.5245,-0.112088,531070,182310
